iter	MultiClass
0	1.068914114
1	1.042122558
2	1.018652591
3	0.9960445221
4	0.9759733003
5	0.958259976
6	0.9409727959
7	0.9251102198
8	0.911392134
9	0.8980462761
10	0.8859535279
11	0.8752491309
12	0.8647785196
13	0.8550306861
14	0.8453765594
15	0.8366699113
16	0.8291477141
17	0.8223467535
18	0.81552301
19	0.8088630595
20	0.8030716886
21	0.7978695754
22	0.791981208
23	0.7868038056
24	0.7822575806
25	0.7778389582
26	0.7732601426
27	0.7690905655
28	0.7656833204
29	0.761896898
30	0.7583397528
31	0.7557411574
32	0.7531125094
33	0.750406539
34	0.7477665146
35	0.7454762154
36	0.7429634303
37	0.7409477902
38	0.7390427557
39	0.7373147532
40	0.7356707311
41	0.7337739428
42	0.7322117894
43	0.7305244366
44	0.7289547745
45	0.7275800647
46	0.7264164064
47	0.7247759431
48	0.7237324351
49	0.7223587661
50	0.7210555315
51	0.7198761476
52	0.718792612
53	0.7173703127
54	0.7164099481
55	0.7151113275
56	0.7142918267
57	0.7133274698
58	0.7125922311
59	0.7117232271
60	0.7109999722
61	0.7103224288
62	0.709614356
63	0.7090221468
64	0.7084735505
65	0.7078075535
66	0.7070523582
67	0.7065969385
68	0.7058332107
69	0.7051945099
70	0.7047160915
71	0.7041652881
72	0.7037174738
73	0.7031132695
74	0.7023911482
75	0.7018894141
76	0.7014774245
77	0.7010600033
78	0.7005963142
79	0.7000695491
80	0.699703083
81	0.6993489033
82	0.6989215182
83	0.6982898009
84	0.6979280158
85	0.6975672349
86	0.6972329866
87	0.6969231844
88	0.6965003361
89	0.6961895618
90	0.6958746471
91	0.6954749302
92	0.6952202767
93	0.6949174215
94	0.6946659879
95	0.6942893795
96	0.6940532274
97	0.693744957
98	0.6934498394
99	0.6932306185
100	0.6929870447
101	0.6925139901
102	0.6921626658
103	0.6917013968
104	0.6912773935
105	0.6910667277
106	0.6907889879
107	0.6902844559
108	0.6899785381
109	0.6894823797
110	0.6893506652
111	0.6889091572
112	0.6886359378
113	0.6883669442
114	0.6880969987
115	0.6876524724
116	0.6874757854
117	0.6872910121
118	0.6870546133
119	0.6867469318
120	0.6864554759
121	0.6863166998
122	0.6861426346
123	0.6860028304
124	0.685761362
125	0.6855714964
126	0.685255345
127	0.6850931285
128	0.6849489162
129	0.6847285744
130	0.6845738177
131	0.6842517459
132	0.6840181027
133	0.683625011
134	0.6834284865
135	0.6832413947
136	0.6829341586
137	0.6827791879
138	0.6825628565
139	0.6822857156
140	0.6821384163
141	0.681861365
142	0.6818460904
143	0.6816723487
144	0.6815466148
145	0.681212818
146	0.6810010596
147	0.6806539107
148	0.6805567999
149	0.6803116416
150	0.6799954016
151	0.6798124259
152	0.6796667157
153	0.6793333711
154	0.6790620216
155	0.6789208207
156	0.6787092227
157	0.6784317665
158	0.6782632147
159	0.6780090112
160	0.6778310887
161	0.6776307788
162	0.6774532293
163	0.6773228468
164	0.6772114195
165	0.6770241938
166	0.6768632613
167	0.6766908838
168	0.6763454082
169	0.6761374795
170	0.675988957
171	0.6757660568
172	0.675661079
173	0.6754729426
174	0.6753355329
175	0.6750971729
176	0.6749488911
177	0.6748511295
178	0.6746811558
179	0.6743223715
180	0.6741818765
181	0.6739235938
182	0.6739058065
183	0.6736539186
184	0.6735404724
185	0.6734183579
186	0.6733556649
187	0.6732490637
188	0.6730646664
189	0.6728457507
190	0.6727810739
191	0.6726075204
192	0.6724587597
193	0.6722113028
194	0.672093943
195	0.671928002
196	0.6716610745
197	0.6714900065
198	0.671333668
199	0.6712173548
200	0.670999301
201	0.6708816108
202	0.6707014399
203	0.6705433314
204	0.6703157681
205	0.6701038084
206	0.6698725831
207	0.6696120328
208	0.669451445
209	0.6693837108
210	0.669293458
211	0.6691723025
212	0.6690739158
213	0.668901223
214	0.6686811395
215	0.6685942116
216	0.6683674654
217	0.668253006
218	0.6681211227
219	0.6680450255
220	0.6677940534
221	0.6676810886
222	0.6675173274
223	0.6672603033
224	0.6671703075
225	0.6670780874
226	0.66681351
227	0.6666028749
228	0.6663711732
229	0.6662635888
230	0.6660823729
231	0.6660013257
232	0.6658984155
233	0.6658212084
234	0.6657449555
235	0.665551532
236	0.6653420116
237	0.6651742107
238	0.6650823176
239	0.6649341278
240	0.6648616444
241	0.6647226239
242	0.6644487194
243	0.6643351486
244	0.6641529754
245	0.6639488046
246	0.6638189856
247	0.6636515205
248	0.6635500285
249	0.6634635449
250	0.6632769324
251	0.6632124589
252	0.6629496873
253	0.6628894533
254	0.6627367451
255	0.6626103027
256	0.6622820418
257	0.6621816503
258	0.6620737296
259	0.6619335932
260	0.6616896983
261	0.6614873666
262	0.6612079413
263	0.6611027104
264	0.6609574493
265	0.6606303521
266	0.6604445136
267	0.6602572477
268	0.6599910155
269	0.6598639976
270	0.6597286207
271	0.6595650165
272	0.6594058831
273	0.6593190324
274	0.6591120769
275	0.6589080298
276	0.6587859442
277	0.6585822983
278	0.6583166981
279	0.6580810664
280	0.6579301168
281	0.6578156865
282	0.6575644877
283	0.6574522008
284	0.657293508
285	0.6571933013
286	0.6569618126
287	0.6568384302
288	0.6566458993
289	0.6564769932
290	0.6562977998
291	0.6561525008
292	0.6560120827
293	0.6557850695
294	0.6556334037
295	0.6555359606
296	0.655395009
297	0.6552853767
298	0.6550262873
299	0.6548054817
300	0.6546708881
301	0.6544800593
302	0.6542871003
303	0.6541752513
304	0.6539991846
305	0.6538788687
306	0.6537539432
307	0.6535610448
308	0.6533813683
309	0.6531919826
310	0.6530561431
311	0.6527995223
312	0.6526289476
313	0.6525529882
314	0.6524256776
315	0.6523221457
316	0.6521881308
317	0.6520166731
318	0.6518678637
319	0.6517258949
320	0.651622387
321	0.6514960351
322	0.6513926239
323	0.6512379922
324	0.6510628344
325	0.6508380257
326	0.6507034593
327	0.6505372007
328	0.6504197366
329	0.6502254718
330	0.6500881781
331	0.6500216274
332	0.6499367939
333	0.6497939417
334	0.6496970309
335	0.6495570617
336	0.6494291162
337	0.6492318468
338	0.6491237697
339	0.649032272
340	0.6489033651
341	0.6487815608
342	0.6487590146
343	0.6486586114
344	0.6485801715
345	0.6483961196
346	0.6482622037
347	0.6480740036
348	0.6480054399
349	0.6478531584
350	0.6477487323
351	0.6475687463
352	0.6475102535
353	0.6473522876
354	0.647240267
355	0.647066202
356	0.6469421959
357	0.6468213805
