iter	Passed	Remaining
0	403	201194
1	972	242123
2	1754	290675
3	2159	267770
4	2754	272695
5	3180	261864
6	3592	253038
7	4037	248304
8	4437	242106
9	4867	238494
10	5323	236642
11	5856	238158
12	6380	239019
13	6887	239085
14	7371	238349
15	7816	236453
16	8300	235821
17	8802	235721
18	9289	235176
19	9758	234197
20	10234	233434
21	10751	233609
22	11167	231614
23	11625	230566
24	12119	230272
25	12636	230369
26	13097	229447
27	13576	228863
28	14137	229610
29	14630	229204
30	15080	228156
31	15585	227933
32	16090	227708
33	16498	226130
34	17038	226362
35	17540	226076
36	18004	225294
37	18617	226352
38	19161	226504
39	19711	226680
40	20284	227083
41	20737	226134
42	21256	225909
43	21978	227775
44	22505	227556
45	23090	227892
46	23570	227175
47	24030	226289
48	24627	226670
49	25085	225772
50	25549	224939
51	26188	225624
52	26662	224868
53	27036	223297
54	28063	227055
55	29869	236826
56	30726	238802
57	31168	237526
58	31790	237617
59	32319	237012
60	32853	236436
61	33330	235465
62	33840	234735
63	34283	233559
64	34780	232760
65	35230	231664
66	35731	230924
67	36195	229945
68	36557	228354
69	37271	228954
70	37829	228576
71	38343	227933
72	38765	226752
73	39275	226097
74	39761	225317
75	40406	225426
76	41154	226083
77	41810	226204
78	42287	225352
79	42728	224325
80	43223	223587
81	43778	223165
82	44388	223010
83	44780	221771
84	45322	221282
85	45802	220489
86	46359	220073
87	46847	219330
88	47378	218794
89	47931	218354
90	48401	217539
91	49069	217613
92	49679	217414
93	50201	216827
94	50687	216090
95	51287	215833
96	51811	215259
97	52382	214873
98	54606	221183
99	55539	222156
100	56335	222553
101	56812	221680
102	57363	221101
103	57847	220265
104	59094	222307
105	60246	223933
106	60898	223673
107	61436	222990
108	61972	222306
109	62434	221358
110	63116	221190
111	63493	219960
112	64039	219321
113	64559	218595
114	65021	217681
115	65474	216744
116	66075	216298
117	66663	215810
118	67257	215335
119	67830	214795
120	68324	214007
121	69067	213994
122	69737	213747
123	70355	213336
124	70854	212564
125	71448	212076
126	71962	211353
127	72687	211248
128	73193	210503
129	74236	211287
130	75430	212471
131	76433	213087
132	77048	212606
133	77465	211584
134	78102	211165
135	78700	210639
136	79206	209868
137	79853	209470
138	80490	209044
139	80943	208140
140	81531	207587
141	82281	207443
142	82394	205697
143	82988	205165
144	83544	204539
145	84054	203802
146	84567	203077
147	85087	202371
148	85760	202027
149	86289	201342
150	86791	200597
151	87315	199905
152	88060	199719
153	88477	198787
154	89018	198137
155	89632	197651
156	90121	196889
157	90640	196197
158	91247	195693
159	91756	194983
160	92303	194353
161	92860	193746
162	93391	193086
163	93933	192449
164	94587	192041
165	95240	191629
166	95855	191136
167	96324	190355
168	96796	189583
169	97290	188858
170	98027	188603
171	98521	187877
172	99128	187370
173	99735	186860
174	100410	186476
175	101056	186035
176	102596	187224
177	105083	190095
178	105861	189840
179	106395	189147
180	107077	188717
181	107588	187984
182	108331	187656
183	108821	186889
184	109334	186163
185	109990	185683
186	110678	185253
187	111415	184902
188	111979	184263
189	112496	183546
190	113202	183139
191	113637	182294
192	114072	181452
193	114519	180633
194	115219	180215
195	115779	179576
196	116305	178885
197	116821	178181
198	117365	177523
199	118040	177061
200	118459	176215
201	119019	175583
202	119525	174872
203	120033	174166
204	120506	173411
205	121065	172782
206	121624	172154
207	121998	171267
208	122574	170665
209	123027	169895
210	123725	169462
211	124796	169535
212	127001	171124
213	127727	170701
214	128259	170018
215	128935	169526
216	129380	168730
217	130065	168250
218	130853	167899
219	131527	167398
220	132018	166665
221	132684	166154
222	133489	165814
223	133973	165074
224	134577	164483
225	135149	163853
226	135694	163191
227	136184	162465
228	136665	161730
229	137225	161091
230	137719	160375
231	138414	159892
232	139007	159291
233	139605	158696
234	140220	158121
235	140757	157457
236	141429	156945
237	141889	156197
238	142550	155672
239	143175	155106
240	143867	154612
241	144371	153916
242	144985	153339
243	145565	152724
244	146102	152066
245	146654	151424
246	147248	150825
247	147756	150139
248	148260	149451
249	148792	148792
250	149324	148134
251	150567	148177
252	152764	149141
253	153740	148898
254	154252	148203
255	154814	147557
256	155282	146823
257	155954	146283
258	156478	145603
259	157108	145022
260	157508	144231
261	157937	143470
262	158819	143118
263	159618	142689
264	160283	142137
265	160734	141398
266	161441	140883
267	161856	140114
268	162323	139393
269	162786	138670
270	163335	138021
271	163814	137315
272	164383	136685
273	165581	136574
274	166528	136250
275	167011	135545
276	167526	134868
277	168011	134167
278	168486	133460
279	168934	132733
280	169398	132022
281	169851	131303
282	170280	130568
283	170799	129903
284	171279	129210
285	171767	128525
286	172247	127834
287	172795	127196
288	173247	126488
289	173823	125872
290	174280	125170
291	174740	124472
292	175230	123797
293	175655	123078
294	176201	122445
295	176639	121737
296	177121	121062
297	177577	120371
298	177994	119655
299	178426	118950
300	178999	118342
301	179442	117647
302	179921	116978
303	180533	116396
304	181075	115769
305	181555	115104
306	182100	114480
307	182583	113818
308	183070	113160
309	184014	112782
310	184606	112188
311	185090	111529
312	185539	110849
313	186093	110233
314	186548	109560
315	187050	108915
316	187554	108272
317	188105	107657
318	188589	107005
319	188968	106294
320	189455	105646
321	189992	105027
322	190515	104399
323	191003	103755
324	191491	103110
325	191919	102435
326	192436	101809
327	192899	101154
328	193328	100483
329	193810	99841
330	194217	99162
331	194865	98606
332	195286	97936
333	195743	97285
334	196337	96703
335	196826	96069
336	197319	95439
337	197830	94818
338	198275	94166
339	198867	93584
340	199392	92971
341	199933	92367
342	200694	91863
343	201260	91269
344	202613	91029
345	203956	90778
346	205029	90401
347	205977	89967
348	206639	89405
349	207109	88761
350	207762	88195
351	208163	87523
352	208750	86930
353	209149	86259
354	209642	85628
355	210158	85007
356	210702	84399
357	211189	83767
358	211734	83160
359	212215	82528
360	212790	81933
361	213240	81290
362	213840	80705
363	214263	80054
364	214703	79410
365	215167	78777
366	215862	78228
367	216348	77603
368	216807	76969
369	217236	76326
370	217663	75683
